<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <TICKVOL> <VOL> <SPREAD>
2022.01.03 00:00:00 1.13693 1.13729 1.13645 1.13708 202 0 22
2022.01.03 00:30:00 1.13705 1.13742 1.13699 1.13726 369 0 17
2022.01.03 01:00:00 1.13725 1.13778 1.13690 1.13723 890 0 7
2022.01.03 01:30:00 1.13726 1.13734 1.13687 1.13728 455 0 7
2022.01.03 02:00:00 1.13728 1.13759 1.13662 1.13665 468 0 0
2022.01.03 02:30:00 1.13664 1.13670 1.13608 1.13622 586 0 0
2022.01.03 03:00:00 1.13622 1.13654 1.13597 1.13628 444 0 0
2022.01.03 03:30:00 1.13615 1.13617 1.13497 1.13588 905 0 0
2022.01.03 04:00:00 1.13588 1.13589 1.13483 1.13495 663 0 0
2022.01.03 04:30:00 1.13496 1.13499 1.13422 1.13427 428 0 0
2022.01.03 05:00:00 1.13430 1.13471 1.13423 1.13440 369 0 0
2022.01.03 05:30:00 1.13440 1.13500 1.13413 1.13482 438 0 0
2022.01.03 06:00:00 1.13483 1.13490 1.13430 1.13485 323 0 0
2022.01.03 06:30:00 1.13482 1.13482 1.13387 1.13406 346 0 0
2022.01.03 07:00:00 1.13406 1.13414 1.13365 1.13368 294 0 0
2022.01.03 07:30:00 1.13368 1.13410 1.13360 1.13380 364 0 0
2022.01.03 08:00:00 1.13380 1.13430 1.13379 1.13412 443 0 0
2022.01.03 08:30:00 1.13412 1.13465 1.13410 1.13430 434 0 0
2022.01.03 09:00:00 1.13431 1.13460 1.13361 1.13365 882 0 0
2022.01.03 09:30:00 1.13365 1.13501 1.13349 1.13480 1066 0 1
2022.01.03 10:00:00 1.13479 1.13479 1.13354 1.13369 1985 0 0
2022.01.03 10:30:00 1.13371 1.13473 1.13352 1.13468 1314 0 0
2022.01.03 11:00:00 1.13466 1.13567 1.13384 1.13392 1399 0 0
2022.01.03 11:30:00 1.13389 1.13559 1.13355 1.13518 1584 0 0
2022.01.03 12:00:00 1.13518 1.13598 1.13506 1.13557 1089 0 1
2022.01.03 12:30:00 1.13556 1.13593 1.13505 1.13551 1135 0 0
2022.01.03 13:00:00 1.13555 1.13661 1.13515 1.13605 1446 0 1
2022.01.03 13:30:00 1.13605 1.13625 1.13518 1.13557 1366 0 0
2022.01.03 14:00:00 1.13558 1.13563 1.13498 1.13539 1356 0 0
2022.01.03 14:30:00 1.13539 1.13595 1.13471 1.13585 1860 0 0
2022.01.03 15:00:00 1.13585 1.13631 1.13500 1.13628 2331 0 0
2022.01.03 15:30:00 1.13629 1.13640 1.13456 1.13504 2440 0 0
2022.01.03 16:00:00 1.13504 1.13519 1.13246 1.13261 2250 0 0
2022.01.03 16:30:00 1.13261 1.13291 1.13000 1.13062 3449 0 0
2022.01.03 17:00:00 1.13066 1.13094 1.12916 1.12959 3207 0 0
2022.01.03 17:30:00 1.12958 1.13014 1.12904 1.12918 2872 0 0
2022.01.03 18:00:00 1.12919 1.12988 1.12888 1.12927 2401 0 0
2022.01.03 18:30:00 1.12926 1.12957 1.12830 1.12888 2370 0 0
2022.01.03 19:00:00 1.12888 1.12902 1.12795 1.12816 1443 0 0
2022.01.03 19:30:00 1.12815 1.12870 1.12795 1.12837 802 0 0
2022.01.03 20:00:00 1.12837 1.12918 1.12829 1.12909 758 0 0
2022.01.03 20:30:00 1.12909 1.12969 1.12906 1.12948 673 0 0
2022.01.03 21:00:00 1.12948 1.12984 1.12936 1.12979 727 0 0
2022.01.03 21:30:00 1.12979 1.12995 1.12948 1.12970 866 0 0
2022.01.03 22:00:00 1.12967 1.12991 1.12959 1.12966 697 0 0
2022.01.03 22:30:00 1.12966 1.13003 1.12938 1.12963 1052 0 0
2022.01.03 23:00:00 1.12963 1.12970 1.12941 1.12969 307 0 1
2022.01.03 23:30:00 1.12969 1.12989 1.12962 1.12971 265 0 5
2022.01.04 00:00:00 1.12961 1.12961 1.12920 1.12931 802 0 13
2022.01.04 00:30:00 1.12931 1.12956 1.12930 1.12938 2219 0 17
2022.01.04 01:00:00 1.12940 1.12993 1.12940 1.12988 695 0 7
2022.01.04 01:30:00 1.12988 1.13017 1.12945 1.13016 388 0 7
2022.01.04 02:00:00 1.13016 1.13068 1.13011 1.13038 659 0 0
2022.01.04 02:30:00 1.13039 1.13061 1.13035 1.13055 399 0 0
2022.01.04 03:00:00 1.13054 1.13090 1.13049 1.13059 587 0 0
2022.01.04 03:30:00 1.13061 1.13069 1.13017 1.13066 667 0 0
2022.01.04 04:00:00 1.13066 1.13082 1.13045 1.13064 497 0 0
2022.01.04 04:30:00 1.13064 1.13094 1.12998 1.13023 675 0 0
2022.01.04 05:00:00 1.13023 1.13044 1.12948 1.12993 736 0 0
2022.01.04 05:30:00 1.12993 1.13017 1.12975 1.12978 556 0 0
2022.01.04 06:00:00 1.12977 1.13013 1.12961 1.13000 429 0 0
2022.01.04 06:30:00 1.13001 1.13058 1.12998 1.13007 525 0 0
2022.01.04 07:00:00 1.13007 1.13058 1.13005 1.13039 501 0 0
2022.01.04 07:30:00 1.13039 1.13055 1.13015 1.13049 357 0 0
2022.01.04 08:00:00 1.13049 1.13073 1.12939 1.12948 665 0 0
2022.01.04 08:30:00 1.12948 1.12981 1.12921 1.12932 682 0 0
2022.01.04 09:00:00 1.12932 1.12944 1.12849 1.12860 1154 0 0
2022.01.04 09:30:00 1.12861 1.12933 1.12833 1.12917 1626 0 0
2022.01.04 10:00:00 1.12917 1.13001 1.12875 1.12964 2500 0 0
2022.01.04 10:30:00 1.12963 1.12978 1.12888 1.12893 1665 0 0
2022.01.04 11:00:00 1.12897 1.13068 1.12830 1.13056 1972 0 0
2022.01.04 11:30:00 1.13056 1.13081 1.12967 1.13022 1651 0 0
2022.01.04 12:00:00 1.13022 1.13057 1.12987 1.13024 1480 0 0
2022.01.04 12:30:00 1.13024 1.13050 1.12946 1.12948 1307 0 0
2022.01.04 13:00:00 1.12949 1.12966 1.12794 1.12815 1765 0 0
2022.01.04 13:30:00 1.12815 1.12856 1.12758 1.12761 2012 0 0
2022.01.04 14:00:00 1.12758 1.12835 1.12723 1.12766 2348 0 0
2022.01.04 14:30:00 1.12766 1.12814 1.12726 1.12729 1816 0 0
2022.01.04 15:00:00 1.12729 1.12898 1.12729 1.12891 1981 0 0
2022.01.04 15:30:00 1.12891 1.12891 1.12761 1.12801 1961 0 0
2022.01.04 16:00:00 1.12800 1.12882 1.12777 1.12814 1994 0 0
2022.01.04 16:30:00 1.12814 1.12873 1.12784 1.12846 2307 0 0
2022.01.04 17:00:00 1.12846 1.13165 1.12834 1.13118 3545 0 0
2022.01.04 17:30:00 1.13116 1.13226 1.13089 1.13090 3793 0 0
2022.01.04 18:00:00 1.13092 1.13158 1.12891 1.12921 3354 0 0
2022.01.04 18:30:00 1.12918 1.12955 1.12855 1.12947 1990 0 0
2022.01.04 19:00:00 1.12947 1.12962 1.12897 1.12921 1061 0 0
2022.01.04 19:30:00 1.12924 1.12950 1.12881 1.12937 910 0 0
2022.01.04 20:00:00 1.12938 1.12946 1.12899 1.12920 705 0 0
2022.01.04 20:30:00 1.12919 1.12919 1.12794 1.12803 957 0 0
2022.01.04 21:00:00 1.12803 1.12907 1.12782 1.12892 1092 0 0
2022.01.04 21:30:00 1.12891 1.12932 1.12869 1.12878 880 0 0
2022.01.04 22:00:00 1.12878 1.12896 1.12821 1.12821 781 0 0
2022.01.04 22:30:00 1.12822 1.12876 1.12808 1.12847 969 0 0
2022.01.04 23:00:00 1.12847 1.12861 1.12813 1.12835 454 0 1
2022.01.04 23:30:00 1.12835 1.12874 1.12810 1.12862 456 0 5
2022.01.05 00:00:00 1.12852 1.12867 1.12808 1.12841 242 0 18
2022.01.05 00:30:00 1.12839 1.12848 1.12833 1.12838 236 0 26
2022.01.05 01:00:00 1.12838 1.12866 1.12831 1.12842 368 0 7
2022.01.05 01:30:00 1.12841 1.12850 1.12817 1.12829 281 0 7
2022.01.05 02:00:00 1.12829 1.12858 1.12824 1.12829 269 0 0
2022.01.05 02:30:00 1.12831 1.12835 1.12765 1.12773 507 0 0
2022.01.05 03:00:00 1.12774 1.12856 1.12774 1.12856 598 0 0
2022.01.05 03:30:00 1.12856 1.12886 1.12839 1.12857 629 0 0
2022.01.05 04:00:00 1.12857 1.12914 1.12848 1.12914 486 0 0
2022.01.05 04:30:00 1.12914 1.12943 1.12895 1.12919 557 0 0
2022.01.05 05:00:00 1.12920 1.12945 1.12912 1.12942 380 0 0
2022.01.05 05:30:00 1.12942 1.12968 1.12938 1.12956 275 0 0
2022.01.05 06:00:00 1.12957 1.12958 1.12894 1.12897 413 0 0
2022.01.05 06:30:00 1.12897 1.12916 1.12882 1.12887 525 0 1
2022.01.05 07:00:00 1.12889 1.12900 1.12870 1.12888 323 0 0
2022.01.05 07:30:00 1.12888 1.12946 1.12886 1.12935 389 0 0
2022.01.05 08:00:00 1.12935 1.12965 1.12925 1.12960 452 0 0
2022.01.05 08:30:00 1.12960 1.13013 1.12950 1.12958 516 0 0
2022.01.05 09:00:00 1.12957 1.13026 1.12947 1.12989 1050 0 0
2022.01.05 09:30:00 1.12988 1.13022 1.12969 1.12986 1204 0 0
2022.01.05 10:00:00 1.12986 1.13099 1.12965 1.13088 1903 0 0
2022.01.05 10:30:00 1.13088 1.13111 1.12970 1.13032 1735 0 0
2022.01.05 11:00:00 1.13032 1.13071 1.13004 1.13012 1699 0 0
2022.01.05 11:30:00 1.13014 1.13083 1.12997 1.13060 1476 0 0
2022.01.05 12:00:00 1.13059 1.13137 1.13043 1.13130 1889 0 0
2022.01.05 12:30:00 1.13130 1.13140 1.13045 1.13082 1260 0 0
2022.01.05 13:00:00 1.13082 1.13186 1.13064 1.13174 1347 0 0
2022.01.05 13:30:00 1.13171 1.13236 1.13167 1.13190 1469 0 0
2022.01.05 14:00:00 1.13190 1.13253 1.13115 1.13160 1962 0 0
2022.01.05 14:30:00 1.13160 1.13173 1.13049 1.13079 1747 0 0
2022.01.05 15:00:00 1.13080 1.13186 1.13033 1.13083 3285 0 0
2022.01.05 15:30:00 1.13084 1.13286 1.13083 1.13236 2922 0 0
2022.01.05 16:00:00 1.13237 1.13364 1.13209 1.13352 2196 0 0
2022.01.05 16:30:00 1.13352 1.13389 1.13301 1.13360 2146 0 0
2022.01.05 17:00:00 1.13359 1.13441 1.13356 1.13368 2273 0 0
2022.01.05 17:30:00 1.13368 1.13392 1.13324 1.13373 2587 0 0
2022.01.05 18:00:00 1.13373 1.13395 1.13229 1.13266 1897 0 0
2022.01.05 18:30:00 1.13266 1.13346 1.13252 1.13342 1530 0 0
2022.01.05 19:00:00 1.13343 1.13466 1.13334 1.13421 1313 0 0
2022.01.05 19:30:00 1.13421 1.13459 1.13386 1.13412 1053 0 0
2022.01.05 20:00:00 1.13408 1.13413 1.13356 1.13409 850 0 0
